customer_id,signup_date,age,income_segment,region,contract_type
CUST000001,2023-09-24,47,High,North,TwoYear
CUST000002,2022-01-31,40,Low,West,Annual
CUST000003,2023-11-24,49,High,South,Annual
CUST000004,2023-11-05,60,High,South,TwoYear
CUST000005,2022-05-08,39,Medium,West,Monthly
CUST000006,2022-10-21,39,High,East,TwoYear
CUST000007,2023-03-17,60,Low,North,Annual
CUST000008,2023-01-23,51,Medium,East,Annual
CUST000009,2023-10-04,36,Low,East,Monthly
CUST000010,2023-06-08,48,Low,East,Monthly
CUST000011,2023-07-01,36,Medium,South,Annual
CUST000012,2023-12-11,36,Medium,North,Monthly
CUST000013,2022-04-20,44,Medium,South,Monthly
CUST000014,2022-11-24,19,Medium,South,Annual
CUST000015,2023-02-09,21,Medium,South,Monthly
CUST000016,2022-09-02,35,Low,North,Monthly
CUST000017,2022-06-12,29,Medium,West,Monthly
CUST000018,2023-07-14,45,High,South,Monthly
CUST000019,2023-02-03,31,Medium,South,Monthly
CUST000020,2023-08-06,25,Medium,South,Monthly
CUST000021,2023-02-03,59,Medium,North,Monthly
CUST000022,2023-05-08,39,Medium,North,Annual
CUST000023,2023-10-08,42,Medium,East,Monthly
CUST000024,2022-08-27,24,High,South,Monthly
CUST000025,2023-04-10,35,Medium,South,Annual
CUST000026,2023-08-03,43,Medium,North,Monthly
CUST000027,2022-02-01,28,Medium,North,Monthly
CUST000028,2022-05-03,46,Medium,South,Monthly
CUST000029,2023-06-18,34,Medium,West,Monthly
CUST000030,2023-10-29,38,Medium,East,Annual
CUST000031,2022-04-20,34,Medium,East,Monthly
CUST000032,2022-09-28,64,Medium,South,Monthly
CUST000033,2023-01-15,41,Medium,East,Monthly
CUST000034,2022-10-27,29,High,East,TwoYear
CUST000035,2023-09-19,51,Medium,South,Monthly
CUST000036,2022-09-06,27,High,East,Monthly
CUST000037,2023-06-05,44,Low,North,TwoYear
CUST000038,2022-02-03,18,Low,South,Monthly
CUST000039,2022-08-16,26,Medium,North,Annual
CUST000040,2023-08-08,44,Medium,South,Monthly
CUST000041,2023-02-03,50,Medium,North,Monthly
CUST000042,2023-12-25,44,Low,East,Monthly
CUST000043,2023-08-07,40,Low,West,Monthly
CUST000044,2023-07-24,38,Medium,North,Monthly
CUST000045,2022-08-08,24,Low,North,TwoYear
CUST000046,2023-01-06,33,Medium,West,Monthly
CUST000047,2023-06-12,36,Medium,West,Annual
CUST000048,2022-03-16,54,Medium,North,Monthly
CUST000049,2023-09-10,46,Low,North,TwoYear
CUST000050,2022-05-16,20,Low,North,TwoYear
CUST000051,2022-03-15,45,Medium,South,Monthly
CUST000052,2022-09-11,37,Low,North,Monthly
CUST000053,2022-01-18,33,Medium,North,Annual
CUST000054,2022-02-12,49,High,West,Monthly
CUST000055,2022-02-19,54,Low,West,Annual
CUST000056,2023-05-30,53,Low,South,TwoYear
CUST000057,2023-07-25,31,Low,South,Monthly
CUST000058,2023-07-30,38,High,East,Annual
CUST000059,2023-08-05,45,Low,North,Monthly
CUST000060,2022-10-30,53,High,North,Monthly
CUST000061,2022-05-22,36,Medium,West,Monthly
CUST000062,2022-07-21,39,Medium,East,Monthly
CUST000063,2022-07-26,28,Low,North,Monthly
CUST000064,2023-02-19,27,Medium,East,Monthly
CUST000065,2022-08-09,51,Medium,South,Annual
CUST000066,2022-12-28,58,Medium,North,Monthly
CUST000067,2022-03-22,41,Medium,North,Monthly
CUST000068,2023-07-17,54,Medium,South,Monthly
CUST000069,2022-10-12,46,Medium,North,Monthly
CUST000070,2023-01-04,34,Medium,South,Annual
CUST000071,2023-05-07,46,Medium,South,Monthly
CUST000072,2022-12-12,60,Medium,East,Annual
CUST000073,2022-07-23,41,Low,West,Monthly
CUST000074,2022-01-25,60,Medium,West,Annual
CUST000075,2023-07-07,18,Medium,South,Monthly
CUST000076,2022-03-10,51,Low,East,Annual
CUST000077,2023-05-31,43,Medium,South,Monthly
CUST000078,2023-05-07,38,Low,East,Monthly
CUST000079,2022-08-28,43,Low,East,Annual
CUST000080,2022-12-27,18,High,West,Annual
CUST000081,2023-03-17,39,Medium,West,Monthly
CUST000082,2022-01-31,46,Medium,East,TwoYear
CUST000083,2023-09-21,59,High,West,Annual
CUST000084,2023-12-08,35,Low,East,Monthly
CUST000085,2023-08-25,32,High,North,Monthly
CUST000086,2023-11-21,35,Low,South,Monthly
CUST000087,2023-10-19,52,Medium,West,Monthly
CUST000088,2023-12-15,45,Medium,South,Monthly
CUST000089,2022-11-18,35,High,West,Monthly
CUST000090,2022-12-10,48,Medium,South,Monthly
CUST000091,2023-12-16,43,Medium,South,Monthly
CUST000092,2023-06-20,53,Medium,West,Monthly
