customer_id,date,minutes_used,features_accessed,sessions
CUST008300,2023-06-01,109,8,7
CUST003220,2023-06-02,18,1,5
CUST007693,2023-06-03,109,6,14
CUST003570,2023-06-04,32,7,6
CUST009090,2023-06-05,200,2,9
CUST002657,2023-06-06,153,1,7
CUST006706,2023-06-07,207,4,6
CUST008782,2023-06-08,91,8,13
CUST005941,2023-06-09,22,3,14
CUST007099,2023-06-10,228,4,16
CUST005496,2023-06-11,215,2,11
CUST000203,2023-06-12,1,6,10
CUST002565,2023-06-13,50,1,8
CUST008693,2023-06-14,158,5,17
CUST001402,2023-06-15,156,4,12
CUST001448,2023-06-16,155,7,1
CUST009123,2023-06-17,110,4,9
CUST004200,2023-06-18,119,6,10
CUST005698,2023-06-19,129,7,6
CUST004094,2023-06-20,76,8,5
CUST009119,2023-06-21,23,1,11
CUST000451,2023-06-22,73,3,15
CUST002764,2023-06-23,188,7,4
CUST008093,2023-06-24,148,8,9
CUST006315,2023-06-25,65,1,19
CUST008498,2023-06-26,67,9,17
CUST000694,2023-06-27,151,6,9
CUST008331,2023-06-28,165,1,7
CUST006737,2023-06-29,43,4,12
CUST005912,2023-06-30,207,9,2
CUST004544,2023-07-01,171,1,2
CUST000276,2023-07-02,87,4,13
CUST006967,2023-07-03,201,1,3
CUST008038,2023-07-04,171,5,5
CUST004636,2023-07-05,164,9,1
CUST002968,2023-07-06,238,8,18
CUST001857,2023-07-07,85,8,10
CUST008810,2023-07-08,90,9,8
CUST005873,2023-07-09,95,2,4
CUST002364,2023-07-10,15,9,15
CUST001618,2023-07-11,197,9,6
CUST006606,2023-07-12,52,7,15
CUST002831,2023-07-13,35,1,4
CUST007926,2023-07-14,125,7,18
CUST000524,2023-07-15,225,4,13
CUST000717,2023-07-16,229,2,13
CUST000731,2023-07-17,106,9,3
CUST004346,2023-07-18,217,3,4
CUST008665,2023-07-19,23,9,6
CUST001547,2023-07-20,212,1,17
CUST008567,2023-07-21,184,3,12
CUST004146,2023-07-22,203,6,6
CUST007655,2023-07-23,236,3,2
CUST001877,2023-07-24,115,9,16
CUST005859,2023-07-25,12,9,13
CUST007793,2023-07-26,80,5,2
CUST008187,2023-07-27,35,1,12
CUST007763,2023-07-28,92,6,17
CUST001784,2023-07-29,107,4,6
CUST003644,2023-07-30,51,7,8
CUST008803,2023-07-31,179,5,11
CUST009138,2023-08-01,174,3,16
CUST006292,2023-08-02,91,4,13
CUST004438,2023-08-03,67,5,19
CUST006798,2023-08-04,82,9,1
CUST007852,2023-08-05,115,4,12
CUST004368,2023-08-06,142,1,11
CUST004888,2023-08-07,8,2,9
CUST005869,2023-08-08,175,3,3
CUST003253,2023-08-09,68,1,4
CUST000388,2023-08-10,164,9,6
CUST000768,2023-08-11,195,5,1
CUST003633,2023-08-12,232,9,10
CUST001914,2023-08-13,3,7,15
CUST008846,2023-08-14,172,4,16
CUST002829,2023-08-15,74,8,4
CUST003412,2023-08-16,162,8,19
CUST009249,2023-08-17,207,2,3
CUST005956,2023-08-18,101,8,16
CUST008928,2023-08-19,152,7,4
CUST001832,2023-08-20,173,6,15
CUST003541,2023-08-21,113,1,10
CUST004629,2023-08-22,153,8,18
CUST001745,2023-08-23,239,8,16
CUST001757,2023-08-24,192,9,14
CUST007858,2023-08-25,88,3,10
CUST001794,2023-08-26,23,5,12
CUST006520,2023-08-27,59,9,6
CUST000111,2023-08-28,68,2,16
CUST003282,2023-08-29,78,6,15
CUST000838,2023-08-30,215,7,18
CUST001886,2023-08-31,27,6,7
CUST004621,2023-09-01,97,5,16
CUST007735,2023-09-02,141,4,18
CUST004947,2023-09-03,26,1,6
CUST008972,2023-09-04,167,3,1
CUST006624,2023-09-05,208,8,4
CUST003516,2023-09-06,148,6,4
CUST000134,2023-09-07,155,8,19
CUST004708,2023-09-08,188,6,2
CUST000949,2023-09-09,100,9,10
CUST004227,2023-09-10,149,4,7
CUST006909,2023-09-11,123,4,9
CUST001264,2023-09-12,151,4,9
CUST002291,2023-09-13,1,4,19
CUST000654,2023-09-14,145,2,6
CUST000902,2023-09-15,238,4,4
CUST009387,2023-09-16,47,1,7
CUST006206,2023-09-17,180,8,4
CUST006443,2023-09-18,220,8,8
CUST007697,2023-09-19,231,8,2
CUST008566,2023-09-20,211,6,13
CUST007727,2023-09-21,173,6,14
CUST008859,2023-09-22,220,4,9
CUST005303,2023-09-23,160,6,9
CUST009424,2023-09-24,15,4,7
CUST004119,2023-09-25,206,1,16
CUST005337,2023-09-26,36,1,17
CUST006282,2023-09-27,189,2,2
CUST005532,2023-09-28,129,8,17
CUST003262,2023-09-29,121,3,18
CUST007456,2023-09-30,202,9,13
CUST005186,2023-10-01,46,1,12
CUST000622,2023-10-02,18,7,13
CUST002549,2023-10-03,202,5,3
CUST001310,2023-10-04,44,6,13
CUST006852,2023-10-05,5,8,9
CUST002969,2023-10-06,136,2,13
CUST002051,2023-10-07,10,6,15
CUST009676,2023-10-08,129,3,12
CUST006751,2023-10-09,126,3,17
CUST009367,2023-10-10,43,2,8
CUST007901,2023-10-11,107,2,19
CUST004082,2023-10-12,95,8,13
CUST003990,2023-10-13,214,6,14
CUST007881,2023-10-14,195,5,11
CUST009800,2023-10-15,27,3,3
CUST003555,2023-10-16,122,3,3
CUST004009,2023-10-17,215,1,9
CUST006280,2023-10-18,60,3,11
CUST001354,2023-10-19,114,2,1
CUST007692,2023-10-20,165,9,8
CUST000705,2023-10-21,44,9,12
CUST002622,2023-10-22,172,7,4
CUST008997,2023-10-23,161,4,8
CUST005173,2023-10-24,217,4,17
CUST004508,2023-10-25,148,5,2
CUST004909,2023-10-26,118,7,13
CUST004778,2023-10-27,47,3,1
CUST005759,2023-10-28,205,7,17
CUST004562,2023-10-29,145,3,10
CUST005158,2023-10-30,128,8,14
CUST004708,2023-10-31,130,1,9
CUST001051,2023-11-01,86,8,1
CUST002919,2023-11-02,105,1,18
CUST008128,2023-11-03,75,5,4
CUST003999,2023-11-04,53,1,17
CUST002224,2023-11-05,161,4,9
CUST009974,2023-11-06,196,5,9
CUST005303,2023-11-07,191,9,19
CUST001258,2023-11-08,0,7,17
CUST007014,2023-11-09,41,6,8
CUST003113,2023-11-10,69,1,17
CUST008882,2023-11-11,19,5,6
CUST009045,2023-11-12,111,8,19
CUST006230,2023-11-13,225,9,9
CUST006640,2023-11-14,115,9,18
CUST008780,2023-11-15,179,2,4
CUST001333,2023-11-16,189,4,10
CUST006394,2023-11-17,209,1,17
CUST005902,2023-11-18,55,3,1
CUST004964,2023-11-19,209,3,15
CUST006410,2023-11-20,201,9,4
CUST005600,2023-11-21,70,5,10
CUST002103,2023-11-22,22,7,18
CUST008698,2023-11-23,34,2,9
CUST006616,2023-11-24,192,8,2
CUST005991,2023-11-25,177,9,3
CUST002096,2023-11-26,89,3,3
CUST004275,2023-11-27,3,6,18
CUST002572,2023-11-28,222,7,18
CUST004341,2023-11-29,199,3,19
CUST008184,2023-11-30,47,6,4
CUST008345,2023-12-01,51,2,4
CUST007680,2023-12-02,142,9,5
CUST004049,2023-12-03,239,8,11
CUST003632,2023-12-04,30,9,10
CUST008331,2023-12-05,202,8,11
CUST003721,2023-12-06,172,1,14
CUST002139,2023-12-07,124,8,10
CUST002592,2023-12-08,85,3,7
CUST004202,2023-12-09,11,9,11
CUST009533,2023-12-10,210,3,3
CUST006324,2023-12-11,98,1,18
CUST004908,2023-12-12,27,2,5
CUST000422,2023-12-13,163,8,12
CUST003305,2023-12-14,188,7,11
CUST002100,2023-12-15,24,6,10
CUST004260,2023-12-16,191,1,8
CUST002481,2023-12-17,175,4,16
CUST008827,2023-12-18,98,8,15
CUST005138,2023-12-19,125,9,4
CUST004460,2023-12-20,212,8,11
CUST008506,2023-12-21,170,3,15
